"TIME","CH1","CH2","CH3"
-1.000e+00,1.42109e-16,-0.01,-0.01
-9.998e-01,1.42109e-16,-0.01,0
-9.996e-01,0.01,-0.03,-0.02
-9.994e-01,0.01,-0.02,-0.03
-9.992e-01,0.01,-0.03,-0.02
-9.990e-01,0.02,-0.02,-0.03
-9.988e-01,-0.02,-0.02,-0.02
-9.986e-01,-0.02,-0.01,-0.02
-9.984e-01,0.02,-0.01,-0.03
-9.982e-01,-0.02,-0.03,-0.03
-9.980e-01,-0.01,-0.02,-0.03
-9.978e-01,-0.02,-0.02,-0.01
-9.976e-01,1.42109e-16,-0.05,-0.03
-9.974e-01,-0.03,-0.02,-0.03
-9.972e-01,1.42109e-16,-0.02,-0.01
-9.970e-01,1.42109e-16,-0.01,-0.01
-9.968e-01,-0.02,0.01,0
-9.966e-01,1.42109e-16,0.01,-0.02
-9.964e-01,1.42109e-16,-0.02,0
-9.962e-01,1.42109e-16,-0.01,-0.01
-9.960e-01,-0.02,0,-0.01
-9.958e-01,-0.01,-0.01,-0.01
-9.956e-01,-0.01,0,-0.01
-9.954e-01,-0.01,-0.01,0
-9.952e-01,-0.02,-0.01,0.01
-9.950e-01,1.42109e-16,0,0
-9.948e-01,-0.02,0,0
-9.946e-01,1.42109e-16,0.01,0
-9.944e-01,-0.01,0,-0.01
-9.942e-01,1.42109e-16,0,0.02
-9.940e-01,-0.01,0,-0.01
-9.938e-01,-0.01,0.01,0.01
-9.936e-01,-0.01,0.01,0
-9.934e-01,0.01,0,0.01
-9.932e-01,1.42109e-16,-0.01,0
-9.930e-01,-0.01,0.02,0.01
-9.928e-01,-0.01,0.01,0.01
-9.926e-01,-0.03,0.02,0.01
-9.924e-01,-0.01,0.02,0.02
-9.922e-01,-0.01,0.01,0.01
-9.920e-01,-0.02,0.02,0.01
-9.918e-01,-0.02,0.01,0.02
-9.916e-01,-0.01,0.03,0.02
-9.914e-01,-0.02,0.02,0.01
-9.912e-01,0.01,0.01,0
-9.910e-01,0.01,0.01,0.01
-9.908e-01,1.42109e-16,0,0
-9.906e-01,-0.01,0,0
-9.904e-01,0.01,0.01,0
-9.902e-01,1.42109e-16,0,0.01
-9.900e-01,1.42109e-16,0,0
-9.898e-01,-0.02,0.01,0.01
-9.896e-01,-0.01,0.01,0.02
-9.894e-01,0.01,0.01,0.02
-9.892e-01,1.42109e-16,0.01,0.02
-9.890e-01,-0.01,0.01,0.02
-9.888e-01,1.42109e-16,0.02,-0.01
-9.886e-01,-0.01,0,0
-9.884e-01,1.42109e-16,0.01,0
-9.882e-01,-0.01,0.01,0
-9.880e-01,-0.01,0,-0.02
-9.878e-01,1.42109e-16,0,-0.01
-9.876e-01,0.02,0.01,-0.01
-9.874e-01,1.42109e-16,0,0.01
-9.872e-01,0.01,-0.03,0
-9.870e-01,1.42109e-16,-0.01,-0.01
-9.868e-01,-0.01,-0.02,-0.01
-9.866e-01,-0.02,0,0
-9.864e-01,-0.03,-0.02,0
-9.862e-01,-0.01,0,-0.01
-9.860e-01,1.42109e-16,-0.01,0
-9.858e-01,-0.01,-0.02,0
-9.856e-01,1.42109e-16,0.01,0
-9.854e-01,-0.01,0,-0.01
-9.852e-01,1.42109e-16,0,-0.02
-9.850e-01,-0.02,-0.02,-0.01
-9.848e-01,-0.03,-0.03,-0.01
-9.846e-01,1.42109e-16,-0.02,-0.04
-9.844e-01,-0.01,-0.03,-0.03
-9.842e-01,-0.03,-0.02,-0.02
-9.840e-01,-0.02,-0.03,-0.03
-9.838e-01,-0.01,0,-0.04
-9.836e-01,-0.01,-0.03,-0.02
-9.834e-01,-0.01,-0.01,-0.01
-9.832e-01,-0.01,-0.02,-0.02
-9.830e-01,-0.01,-0.01,-0.01
-9.828e-01,-0.01,-0.02,-0.02
-9.826e-01,-0.02,-0.02,-0.01
-9.824e-01,1.42109e-16,0,-0.02
-9.822e-01,-0.02,-0.01,-0.02
-9.820e-01,-0.02,-0.02,-0.01
-9.818e-01,-0.01,-0.02,-0.02
-9.816e-01,-0.01,-0.03,-0.03
-9.814e-01,1.42109e-16,0.02,-0.01
-9.812e-01,1.42109e-16,-0.01,-0.01
-9.810e-01,0.01,-0.01,-0.01
-9.808e-01,-0.01,-0.03,-0.01
-9.806e-01,-0.02,0,0
-9.804e-01,-0.02,-0.02,-0.01
-9.802e-01,1.42109e-16,-0.01,-0.01
-9.800e-01,1.42109e-16,-0.01,-0.01
-9.798e-01,0.01,-0.01,-0.01
-9.796e-01,1.42109e-16,-0.03,-0.02
-9.794e-01,0.01,-0.02,-0.02
-9.792e-01,-0.02,0.02,0
-9.790e-01,-0.03,0,-0.02
-9.788e-01,-0.03,0.01,0
-9.786e-01,0.02,0.02,-0.01
-9.784e-01,-0.01,-0.01,0
-9.782e-01,-0.02,-0.02,0
-9.780e-01,0.01,0.02,0.01
-9.778e-01,-0.01,-0.02,-0.01
-9.776e-01,-0.01,0,0.01
-9.774e-01,-0.01,-0.01,0.01
-9.772e-01,1.42109e-16,0.01,0.01
-9.770e-01,-0.01,0.01,0
-9.768e-01,-0.01,0.01,-0.01
-9.766e-01,-0.03,0,0
-9.764e-01,-0.03,0.01,0.01
-9.762e-01,-0.01,0,0.01
-9.760e-01,-0.01,0,0.01
-9.758e-01,1.42109e-16,0,0.03
-9.756e-01,0.02,0.01,0.02
-9.754e-01,1.42109e-16,0,0.01
-9.752e-01,-0.02,0.01,0
-9.750e-01,1.42109e-16,0,0.01
-9.748e-01,-0.01,-0.01,0
-9.746e-01,-0.03,0.03,0
-9.744e-01,1.42109e-16,-0.01,0.02
-9.742e-01,-0.01,0.02,-0.01
-9.740e-01,0.01,0.02,0.01
-9.738e-01,-0.01,0.03,0.02
-9.736e-01,-0.01,0.03,0.01
-9.734e-01,1.42109e-16,0.01,0.02
-9.732e-01,-0.02,0.02,0.01
-9.730e-01,-0.01,0.01,0.02
-9.728e-01,1.42109e-16,0.02,-0.01
-9.726e-01,-0.01,0.03,0.01
-9.724e-01,-0.01,0.02,0
-9.722e-01,-0.01,-0.01,0.02
-9.720e-01,-0.01,0,0.01
-9.718e-01,-0.02,0,0
-9.716e-01,-0.01,0.02,0
-9.714e-01,1.42109e-16,0.01,-0.01
-9.712e-01,1.42109e-16,-0.01,0
-9.710e-01,0.01,0.01,-0.01
-9.708e-01,-0.01,0,-0.01
-9.706e-01,-0.01,-0.02,0
-9.704e-01,0.01,0,-0.01
-9.702e-01,-0.01,-0.02,-0.03
-9.700e-01,-0.01,-0.01,-0.02
-9.698e-01,-0.01,-0.02,-0.02
-9.696e-01,0.01,0,-0.01
-9.694e-01,1.42109e-16,-0.03,-0.01
-9.692e-01,-0.01,0.01,0
-9.690e-01,1.42109e-16,0,-0.01
-9.688e-01,-0.02,-0.01,-0.01
-9.686e-01,-0.02,-0.03,-0.03
-9.684e-01,-0.01,0,-0.02
-9.682e-01,-0.02,-0.01,-0.02
-9.680e-01,-0.01,0.02,-0.02
-9.678e-01,-0.02,-0.02,-0.04
-9.676e-01,1.42109e-16,-0.01,-0.04
-9.674e-01,1.42109e-16,-0.01,-0.03
-9.672e-01,-0.02,-0.02,-0.03
-9.670e-01,-0.01,-0.02,-0.02
-9.668e-01,-0.01,-0.03,-0.02
-9.666e-01,-0.02,-0.02,0
-9.664e-01,0.01,-0.02,-0.04
-9.662e-01,-0.02,-0.02,-0.03
-9.660e-01,-0.01,-0.01,-0.01
-9.658e-01,-0.01,-0.01,-0.01
-9.656e-01,-0.02,-0.03,0
-9.654e-01,-0.01,-0.01,-0.01
-9.652e-01,-0.01,-0.01,-0.01
